Company,Industry,E_score,S_score,G_score,Financial_score
RenewMaxPro,Renewable Energy,55,100,100,100
RecycleMaxPro,Waste Management,55,100,100,100
WaterMaxPro,Water Solutions,52,100,100,100
BankMaxPro,Finance,100,100,100,100
ElectroMaxPro,Electric Vehicles,57,100,100,100
AgroMaxPro,Agriculture,47,100,100,100
BioMaxPro,Renewable Energy,54,100,100,100
GreenMaxPro,Waste Management,54,100,100,100
AquaMaxPro,Water Solutions,51,100,100,100
CapitalMaxPro,Finance,100,100,100,100
EVMaxPro,Electric Vehicles,56,100,100,100
CropMaxPro,Agriculture,46,100,100,100
SunMaxPro,Renewable Energy,53,100,100,100
WasteMaxPro,Waste Management,53,100,100,100
HydroMaxPro,Water Solutions,50,100,100,100
FundMaxPro,Finance,100,100,100,100
ChargeMaxPro,Electric Vehicles,55,100,100,100
AgriMaxPro,Agriculture,45,100,100,100
WindMaxPro,Renewable Energy,52,100,100,100
EcoMaxPro,Waste Management,52,100,100,100
PureMaxPro,Water Solutions,49,100,100,100
InvestMaxPro,Finance,100,100,100,100
VoltMaxPro,Electric Vehicles,54,100,100,100
FarmMaxPro,Agriculture,44,100,100,100
RenewMaxPro,Renewable Energy,51,100,100,100
RecycleMaxPro,Waste Management,51,100,100,100
WaterMaxPro,Water Solutions,48,100,100,100
BankMaxPro,Finance,100,100,100,100
ElectroMaxPro,Electric Vehicles,53,100,100,100
AgroMaxPro,Agriculture,43,100,100,100
BioMaxPro,Renewable Energy,50,100,100,100
GreenMaxPro,Waste Management,50,100,100,100
AquaMaxPro,Water Solutions,47,100,100,100
CapitalMaxPro,Finance,100,100,100,100
EVMaxPro,Electric Vehicles,52,100,100,100
CropMaxPro,Agriculture,42,100,100,100
SolarMaxPro,Renewable Energy,49,100,100,100
WasteMaxPro,Waste Management,49,100,100,100
HydroMaxPro,Water Solutions,46,100,100,100
FundMaxPro,Finance,100,100,100,100
ChargeMaxPro,Electric Vehicles,51,100,100,100
AgriMaxPro,Agriculture,41,100,100,100
WindMaxPro,Renewable Energy,48,100,100,100
EcoMaxPro,Waste Management,48,100,100,100
PureMaxPro,Water Solutions,45,100,100,100
InvestMaxPro,Finance,100,100,100,100
VoltMaxPro,Electric Vehicles,50,100,100,100
FarmMaxPro,Agriculture,40,100,100,100
RenewMaxPro,Renewable Energy,47,100,100,100
RecycleMaxPro,Waste Management,47,100,100,100
WaterMaxPro,Water Solutions,44,100,100,100
BankMaxPro,Finance,100,100,100,100
ElectroMaxPro,Electric Vehicles,49,100,100,100
AgroMaxPro,Agriculture,39,100,100,100
BioMaxPro,Renewable Energy,46,100,100,100
GreenMaxPro,Waste Management,46,100,100,100
AquaMaxPro,Water Solutions,43,100,100,100
CapitalMaxPro,Finance,100,100,100,100
EVMaxPro,Electric Vehicles,48,100,100,100
CropMaxPro,Agriculture,38,100,100,100
SunMaxPro,Renewable Energy,45,100,100,100
WasteMaxPro,Waste Management,45,100,100,100
HydroMaxPro,Water Solutions,42,100,100,100
FundMaxPro,Finance,100,100,100,100
ChargeMaxPro,Electric Vehicles,47,100,100,100
AgriMaxPro,Agriculture,37,100,100,100
WindMaxPro,Renewable Energy,44,100,100,100
EcoMaxPro,Waste Management,44,100,100,100
PureMaxPro,Water Solutions,41,100,100,100
InvestMaxPro,Finance,100,100,100,100
VoltMaxPro,Electric Vehicles,46,100,100,100
FarmMaxPro,Agriculture,36,100,100,100
RenewMaxPro,Renewable Energy,43,100,100,100
RecycleMaxPro,Waste Management,43,100,100,100
WaterMaxPro,Water Solutions,40,100,100,100
BankMaxPro,Finance,100,100,100,100
ElectroMaxPro,Electric Vehicles,45,100,100,100
AgroMaxPro,Agriculture,35,100,100,100
BioMaxPro,Renewable Energy,42,100,100,100
GreenMaxPro,Waste Management,42,100,100,100
AquaMaxPro,Water Solutions,39,100,100,100
CapitalMaxPro,Finance,100,100,100,100
EVMaxPro,Electric Vehicles,44,100,100,100
CropMaxPro,Agriculture,34,100,100,100
SolarMaxPro,Renewable Energy,41,100,100,100
WasteMaxPro,Waste Management,41,100,100,100
HydroMaxPro,Water Solutions,38,100,100,100
FundMaxPro,Finance,100,100,100,100
ChargeMaxPro,Electric Vehicles,43,100,100,100
AgriMaxPro,Agriculture,33,100,100,100
WindMaxPro,Renewable Energy,40,100,100,100
EcoMaxPro,Waste Management,40,100,100,100
PureMaxPro,Water Solutions,37,100,100,100
InvestMaxPro,Finance,100,100,100,100
VoltMaxPro,Electric Vehicles,42,100,100,100
FarmMaxPro,Agriculture,32,100,100,100
RenewMaxPro,Renewable Energy,39,100,100,100
RecycleMaxPro,Waste Management,39,100,100,100
WaterMaxPro,Water Solutions,36,100,100,100
BankMaxPro,Finance,100,100,100,100
ElectroMaxPro,Electric Vehicles,41,100,100,100
AgroMaxPro,Agriculture,31,100,100,100
BioMaxPro,Renewable Energy,38,100,100,100
GreenMaxPro,Waste Management,38,100,100,100
AquaMaxPro,Water Solutions,35,100,100,100
CapitalMaxPro,Finance,100,100,100,100
EVMaxPro,Electric Vehicles,40,100,100,100
CropMaxPro,Agriculture,30,100,100,100
SunMaxPro,Renewable Energy,37,100,100,100
WasteMaxPro,Waste Management,37,100,100,100
HydroMaxPro,Water Solutions,34,100,100,100
FundMaxPro,Finance,100,100,100,100
ChargeMaxPro,Electric Vehicles,39,100,100,100
AgriMaxPro,Agriculture,29,100,100,100
WindMaxPro,Renewable Energy,36,100,100,100
EcoMaxPro,Waste Management,36,100,100,100
PureMaxPro,Water Solutions,33,100,100,100
InvestMaxPro,Finance,100,100,100,100
VoltMaxPro,Electric Vehicles,38,100,100,100
FarmMaxPro,Agriculture,28,100,100,100
RenewMaxPro,Renewable Energy,35,100,100,100
RecycleMaxPro,Waste Management,35,100,100,100
WaterMaxPro,Water Solutions,32,100,100,100
BankMaxPro,Finance,100,100,100,100
ElectroMaxPro,Electric Vehicles,37,100,100,100
AgroMaxPro,Agriculture,27,100,100,100
BioMaxPro,Renewable Energy,34,100,100,100
GreenMaxPro,Waste Management,34,100,100,100
AquaMaxPro,Water Solutions,31,100,100,100
CapitalMaxPro,Finance,100,100,100,100
EVMaxPro,Electric Vehicles,36,100,100,100
CropMaxPro,Agriculture,26,100,100,100
SolarMaxPro,Renewable Energy,33,100,100,100
WasteMaxPro,Waste Management,33,100,100,100
HydroMaxPro,Water Solutions,30,100,100,100
FundMaxPro,Finance,100,100,100,100
ChargeMaxPro,Electric Vehicles,35,100,100,100
AgriMaxPro,Agriculture,25,100,100,100
WindMaxPro,Renewable Energy,32,100,100,100
EcoMaxPro,Waste Management,32,100,100,100
PureMaxPro,Water Solutions,29,100,100,100
InvestMaxPro,Finance,100,100,100,100
VoltMaxPro,Electric Vehicles,34,100,100,100
FarmMaxPro,Agriculture,24,100,100,100
RenewMaxPro,Renewable Energy,31,100,100,100
RecycleMaxPro,Waste Management,31,100,100,100
WaterMaxPro,Water Solutions,28,100,100,100
BankMaxPro,Finance,100,100,100,100
ElectroMaxPro,Electric Vehicles,33,100,100,100
AgroMaxPro,Agriculture,23,100,100,100
BioMaxPro,Renewable Energy,30,100,100,100
GreenMaxPro,Waste Management,30,100,100,100
AquaMaxPro,Water Solutions,27,100,100,100
CapitalMaxPro,Finance,100,100,100,100
EVMaxPro,Electric Vehicles,32,100,100,100
CropMaxPro,Agriculture,22,100,100,100
SunMaxPro,Renewable Energy,29,100,100,100
WasteMaxPro,Waste Management,29,100,100,100
HydroMaxPro,Water Solutions,26,100,100,100
FundMaxPro,Finance,100,100,100,100
ChargeMaxPro,Electric Vehicles,31,100,100,100
AgriMaxPro,Agriculture,21,100,100,100
WindMaxPro,Renewable Energy,28,100,100,100
EcoMaxPro,Waste Management,28,100,100,100
PureMaxPro,Water Solutions,25,100,100,100
InvestMaxPro,Finance,100,100,100,100
VoltMaxPro,Electric Vehicles,30,100,100,100
FarmMaxPro,Agriculture,20,100,100,100
RenewMaxPro,Renewable Energy,27,100,100,100
RecycleMaxPro,Waste Management,27,100,100,100
WaterMaxPro,Water Solutions,24,100,100,100
BankMaxPro,Finance,100,100,100,100
ElectroMaxPro,Electric Vehicles,29,100,100,100
AgroMaxPro,Agriculture,19,100,100,100
BioMaxPro,Renewable Energy,26,100,100,100
GreenMaxPro,Waste Management,26,100,100,100
AquaMaxPro,Water Solutions,23,100,100,100
CapitalMaxPro,Finance,100,100,100,100
EVMaxPro,Electric Vehicles,28,100,100,100
CropMaxPro,Agriculture,18,100,100,100
SolarMaxPro,Renewable Energy,25,100,100,100
WasteMaxPro,Waste Management,25,100,100,100
HydroMaxPro,Water Solutions,22,100,100,100
FundMaxPro,Finance,100,100,100,100
ChargeMaxPro,Electric Vehicles,27,100,100,100
AgriMaxPro,Agriculture,17,100,100,100
WindMaxPro,Renewable Energy,24,100,100,100
EcoMaxPro,Waste Management,24,100,100,100
PureMaxPro,Water Solutions,21,100,100,100
InvestMaxPro,Finance,100,100,100,100
VoltMaxPro,Electric Vehicles,26,100,100,100
FarmMaxPro,Agriculture,16,100,100,100
RenewMaxPro,Renewable Energy,23,100,100,100
RecycleMaxPro,Waste Management,23,100,100,100
WaterMaxPro,Water Solutions,20,100,100,100
BankMaxPro,Finance,100,100,100,100
ElectroMaxPro,Electric Vehicles,25,100,100,100
AgroMaxPro,Agriculture,15,100,100,100
BioMaxPro,Renewable Energy,22,100,100,100
GreenMaxPro,Waste Management,22,100,100,100
AquaMaxPro,Water Solutions,19,100,100,100
CapitalMaxPro,Finance,100,100,100,100
EVMaxPro,Electric Vehicles,24,100,100,100
CropMaxPro,Agriculture,14,100,100,100
SunMaxPro,Renewable Energy,21,100,100,100
WasteMaxPro,Waste Management,21,100,100,100
HydroMaxPro,Water Solutions,18,100,100,100
FundMaxPro,Finance,100,100,100,100
ChargeMaxPro,Electric Vehicles,23,100,100,100
AgriMaxPro,Agriculture,13,100,100,100
WindMaxPro,Renewable Energy,20,100,100,100
EcoMaxPro,Waste Management,20,100,100,100
PureMaxPro,Water Solutions,17,100,100,100
InvestMaxPro,Finance,100,100,100,100
VoltMaxPro,Electric Vehicles,22,100,100,100
FarmMaxPro,Agriculture,12,100,100,100
RenewMaxPro,Renewable Energy,19,100,100,100
RecycleMaxPro,Waste Management,19,100,100,100
WaterMaxPro,Water Solutions,16,100,100,100
BankMaxPro,Finance,100,100,100,100
ElectroMaxPro,Electric Vehicles,21,100,100,100
AgroMaxPro,Agriculture,11,100,100,100
BioMaxPro,Renewable Energy,18,100,100,100
GreenMaxPro,Waste Management,18,100,100,100
AquaMaxPro,Water Solutions,15,100,100,100
CapitalMaxPro,Finance,100,100,100,100
EVMaxPro,Electric Vehicles,20,100,100,100
CropMaxPro,Agriculture,10,100,100,100
SolarMaxPro,Renewable Energy,17,100,100,100
WasteMaxPro,Waste Management,17,100,100,100
HydroMaxPro,Water Solutions,14,100,100,100
FundMaxPro,Finance,100,100,100,100
ChargeMaxPro,Electric Vehicles,19,100,100,100
AgriMaxPro,Agriculture,9,100,100,100
WindMaxPro,Renewable Energy,16,100,100,100
EcoMaxPro,Waste Management,16,100,100,100
PureMaxPro,Water Solutions,13,100,100,100
InvestMaxPro,Finance,100,100,100,100
VoltMaxPro,Electric Vehicles,18,100,100,100
FarmMaxPro,Agriculture,8,100,100,100
RenewMaxPro,Renewable Energy,15,100,100,100
RecycleMaxPro,Waste Management,15,100,100,100
WaterMaxPro,Water Solutions,12,100,100,100
BankMaxPro,Finance,100,100,100,100
ElectroMaxPro,Electric Vehicles,17,100,100,100
AgroMaxPro,Agriculture,7,100,100,100
BioMaxPro,Renewable Energy,14,100,100,100
GreenMaxPro,Waste Management,14,100,100,100
AquaMaxPro,Water Solutions,11,100,100,100
CapitalMaxPro,Finance,100,100,100,100
EVMaxPro,Electric Vehicles,16,100,100,100
CropMaxPro,Agriculture,6,100,100,100
SunMaxPro,Renewable Energy,13,100,100,100
WasteMaxPro,Waste Management,13,100,100,100
HydroMaxPro,Water Solutions,10,100,100,100
FundMaxPro,Finance,100,100,100,100
ChargeMaxPro,Electric Vehicles,15,100,100,100
AgriMaxPro,Agriculture,5,100,100,100
WindMaxPro,Renewable Energy,12,100,100,100
EcoMaxPro,Waste Management,12,100,100,100
PureMaxPro,Water Solutions,9,100,100,100
InvestMaxPro,Finance,100,100,100,100
VoltMaxPro,Electric Vehicles,14,100,100,100
FarmMaxPro,Agriculture,4,100,100,100
RenewMaxPro,Renewable Energy,11,100,100,100
RecycleMaxPro,Waste Management,11,100,100,100
WaterMaxPro,Water Solutions,8,100,100,100
BankMaxPro,Finance,100,100,100,100
ElectroMaxPro,Electric Vehicles,13,100,100,100
AgroMaxPro,Agriculture,3,100,100,100
BioMaxPro,Renewable Energy,10,100,100,100
GreenMaxPro,Waste Management,10,100,100,100
AquaMaxPro,Water Solutions,7,100,100,100
CapitalMaxPro,Finance,100,100,100,100
EVMaxPro,Electric Vehicles,12,100,100,100
CropMaxPro,Agriculture,2,100,100,100
SolarMaxPro,Renewable Energy,9,100,100,100
WasteMaxPro,Waste Management,9,100,100,100
HydroMaxPro,Water Solutions,6,100,100,100
FundMaxPro,Finance,100,100,100,100
ChargeMaxPro,Electric Vehicles,11,100,100,100
AgriMaxPro,Agriculture,1,100,100,100
WindMaxPro,Renewable Energy,8,100,100,100
EcoMaxPro,Waste Management,8,100,100,100
PureMaxPro,Water Solutions,5,100,100,100
InvestMaxPro,Finance,100,100,100,100
VoltMaxPro,Electric Vehicles,10,100,100,100
FarmMaxPro,Agriculture,1,100,100,100
RenewMaxPro,Renewable Energy,7,100,100,100
RecycleMaxPro,Waste Management,7,100,100,100
WaterMaxPro,Water Solutions,4,100,100,100
BankMaxPro,Finance,100,100,100,100
ElectroMaxPro,Electric Vehicles,9,100,100,100
AgroMaxPro,Agriculture,1,100,100,100
BioMaxPro,Renewable Energy,6,100,100,100
GreenMaxPro,Waste Management,6,100,100,100
AquaMaxPro,Water Solutions,3,100,100,100
CapitalMaxPro,Finance,100,100,100,100
EVMaxPro,Electric Vehicles,8,100,100,100
CropMaxPro,Agriculture,1,100,100,100
SunMaxPro,Renewable Energy,5,100,100,100
WasteMaxPro,Waste Management,5,100,100,100
HydroMaxPro,Water Solutions,2,100,100,100
FundMaxPro,Finance,100,100,100,100
ChargeMaxPro,Electric Vehicles,7,100,100,100
AgriMaxPro,Agriculture,1,100,100,100
WindMaxPro,Renewable Energy,4,100,100,100
EcoMaxPro,Waste Management,4,100,100,100
PureMaxPro,Water Solutions,1,100,100,100
InvestMaxPro,Finance,100,100,100,100
VoltMaxPro,Electric Vehicles,6,100,100,100
FarmMaxPro,Agriculture,1,100,100,100
RenewMaxPro,Renewable Energy,3,100,100,100
RecycleMaxPro,Waste Management,3,100,100,100
WaterMaxPro,Water Solutions,1,100,100,100
BankMaxPro,Finance,100,100,100,100
ElectroMaxPro,Electric Vehicles,5,100,100,100
AgroMaxPro,Agriculture,1,100,100,100
BioMaxPro,Renewable Energy,2,100,100,100
GreenMaxPro,Waste Management,2,100,100,100
AquaMaxPro,Water Solutions,1,100,100,100
CapitalMaxPro,Finance,100,100,100,100
EVMaxPro,Electric Vehicles,4,100,100,100
CropMaxPro,Agriculture,1,100,100,100
SolarMaxPro,Renewable Energy,1,100,100,100
WasteMaxPro,Waste Management,1,100,100,100
HydroMaxPro,Water Solutions,1,100,100,100
FundMaxPro,Finance,100,100,100,100
ChargeMaxPro,Electric Vehicles,3,100,100,100
AgriMaxPro,Agriculture,1,100,100,100
WindMaxPro,Renewable Energy,1,100,100,100
EcoMaxPro,Waste Management,1,100,100,100
PureMaxPro,Water Solutions,1,100,100,100
InvestMaxPro,Finance,100,100,100,100
VoltMaxPro,Electric Vehicles,2,100,100,100
FarmMaxPro,Agriculture,1,100,100,100
RenewMaxPro,Renewable Energy,1,100,100,100
RecycleMaxPro,Waste Management,1,100,100,100
WaterMaxPro,Water Solutions,1,100,100,100
BankMaxPro,Finance,100,100,100,100
ElectroMaxPro,Electric Vehicles,1,100,100,100
AgroMaxPro,Agriculture,1,100,100,100
